000100xxxxxxxxxxxxxxx01011000010 vminud VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01011000011 efsmsub GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01011000100 vsr VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01011000101 efsnabs GPR,GPR
000100xxxxxxxxxxxxxxx01011000110 vcmpgtfp VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01011000111 vcmpgtud VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01011001000 efsmul GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01011001001 efsdiv GPR,GPR,GPR
000100xxxxx00000xxxxx01011001010 vrfim VREG,VREG
000100xxxxxxxxxxxxxxx01011001011 efsnmsub GPR,GPR,GPR
000100xxxxx0xxxxxxxxx01011001101 vextractd VREG,VREG,NUM
000100xxxxx00000xxxxx01011001110 vupklsh VREG,VREG
000100xxxxxxxxxxxxxxx01011010000 efscfui GPR,GPR
000100xxxxxxxxxxxxxxx01011010001 efscfsi GPR,GPR
000100xxxxxxxxxxxxxxx01011010010 efscfuf GPR,GPR
000100xxxxxxxxxxxxxxx01011010011 efscfsf GPR,GPR
000100xxxxxxxxxxxxxxx01011110100 efdctui GPR,GPR
000100xxxxxxxxxxxxxxx01011110101 efdctsi GPR,GPR
000100xxxxxxxxxxxxxxx01011110110 efdctuf GPR,GPR
000100xxxxxxxxxxxxxxx01011110111 efdctsf GPR,GPR
000100xxxxxxxxxxxxxxx01100000000 vaddsbs VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100000001 evldd GPR,NUM(GPR)
000100xxxxxxxxxxxxxxx01100000010 vminsb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100000011 evldw GPR,NUM(GPR)
000100xxxxxxxxxxxxxxx01100000100 vsrab VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100000101 evldh GPR,NUM(GPR)
000100xxxxxxxxxxxxxxx01100000110 vcmpgtsb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100001000 vmulesb VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100001001 evlhhesplat GPR,NUM(GPR)
000100xxxxxxxxxxxxxxx01100001010 vcfux VREG,VREG,NUM
000100xxxxxxxxxx0000001100001100 vspltisb VREG,NUM
000100xxxxx0xxxxxxxxx01100001101 vinsertb VREG,VREG,NUM
000100xxxxxxxxxxxxxxx01100001110 vpkpx VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01100010000 mullhwu GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01100010001 mullhwu. GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01100110100 evstwhox GPR,GPR,GPR
000100xxxxxxxxxxxxxxx01100110101 evstwho GPR,NUM(GPR)
000100xxxxxxxxxxxxxxx01101000000 vaddshs VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01101000001 bcdcpsgn. VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01101000010 vminsh VREG,VREG,VREG
000100xxxxxxxxxxxxxxx01101000100 vsrah VREG,VREG,VREG
